what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1559078799385
locale,sysinfo,,,"en_IN",1559078799385
processors,sysinfo,,,"4",1559078799385
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1559078799385
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1559078799385
java.specification.name,sysinfo,,,"Java Platform API Specification",1559078799385
java.specification.vendor,sysinfo,,,"Oracle Corporation",1559078799385
java.specification.version,sysinfo,,,"1.7",1559078799385
java.vendor,sysinfo,,,"Oracle Corporation",1559078799385
java.version,sysinfo,,,"1.7.0_79",1559078799385
java.vm.info,sysinfo,,,"mixed mode, sharing",1559078799385
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1559078799385
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559078799385
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1559078799385
java.vm.specification.version,sysinfo,,,"1.7",1559078799385
java.vm.vendor,sysinfo,,,"Oracle Corporation",1559078799385
java.vm.version,sysinfo,,,"24.79-b02",1559078799385
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1559078799463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1559078808177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1559078812363
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1559078812472
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1559078812644
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1559078812754
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1559078812754
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1559078812832
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1559078812832
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1559078812832
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1559078812847
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1559078812847
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1559078812847
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1559078812847
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1559078812847
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1559078812847
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1559078812847
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1559078812847
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1559078812847
