what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1560096830236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096832844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096833793
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560096833816
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1560096835362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096840047
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096847329
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096847392
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560096847411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1560096847411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096859468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096901495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096923797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096933105
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096933263
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560096933366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096967183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096970271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096974622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560096978525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097007360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097012367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097031319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097033036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097080740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097082109
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1560097086715
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1560097086737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097089322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097090537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097096001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097098816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097099630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097102387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097105589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097110605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097120150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097124190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097126179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097127765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097134690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097135569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097141921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097145733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097150568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097153734
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1560097163707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097163780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097166386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097166506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097169407
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1560097169510
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1560097169672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097209203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097215752
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1560097217514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560097217723
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1560097235233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097235269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097236918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097237045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097238425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097256140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097260708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097263241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097285646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097293472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097298438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1560097298461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097312266
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1560097368617
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1560097368691
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1560097370138
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1560097370139
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1560097371126
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1560097371851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097372013
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.properties",1560097372054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1560097375776
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560097380068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097385775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097391827
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560097391837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1560097391837
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560097391920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097395970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097421913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097430029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097442413
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560097442621
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560097442711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097473440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097473912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560097473919
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1560097535213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097535254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097536786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097536947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097538428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097546862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097561761
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1560097579888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097579939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097581296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097581439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097582515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1560097595062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097662447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097663802
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1560097681683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097681725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097682817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097707669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097750553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097781457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097791464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560097796303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097854472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097856083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560097880141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560101397124
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560101488021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560101492474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560101559203
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560101559350
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560101559445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560101603802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560101655543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560102978871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560102981809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103166324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560103176562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103211474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103213834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103623744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103624991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103631371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103666789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560103671921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104035478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104047875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104049766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104057310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104172155
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560104174181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104176932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104187282
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560104187416
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560104187520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1560104195873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104231644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104231862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104231952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104235576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104240284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104333152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104342307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104342447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104342498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104346829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104347055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104354119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1560104388654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1560104395433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1560104415071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1560104419679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104432721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104435496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1560104463215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104488685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104489044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104489362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104489653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104490097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104490529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104491799
